id,status,latency_ms,was_blocked,trust_score,trust_tier,provenance_records
benign_26,ALLOWED,1147.36,False,1.0,HIGH,0
benign_92,ALLOWED,1164.57,False,1.0,HIGH,0
benign_84,ALLOWED,1158.78,False,1.0,HIGH,0
benign_90,ALLOWED,1068.99,False,1.0,HIGH,0
benign_70,ALLOWED,1063.23,False,1.0,HIGH,0
benign_54,ALLOWED,1084.2,False,1.0,HIGH,0
benign_29,ALLOWED,1029.78,False,1.0,HIGH,0
benign_58,ALLOWED,1114.61,False,1.0,HIGH,0
benign_76,ALLOWED,1174.17,False,1.0,HIGH,0
benign_36,ALLOWED,1190.99,False,1.0,HIGH,0
benign_1,ALLOWED,1324.52,False,1.0,HIGH,0
benign_98,ALLOWED,1260.46,False,1.0,HIGH,0
benign_21,ALLOWED,1152.23,False,1.0,HIGH,0
benign_55,ALLOWED,1199.73,False,1.0,HIGH,0
benign_44,ALLOWED,1307.66,False,1.0,HIGH,0
benign_20,ALLOWED,1221.25,False,1.0,HIGH,0
benign_28,ALLOWED,1076.62,False,1.0,HIGH,0
benign_14,ALLOWED,1173.37,False,1.0,HIGH,0
benign_12,ALLOWED,1204.2,False,1.0,HIGH,0
benign_49,ALLOWED,1093.35,False,1.0,HIGH,0
