id,status,latency_ms,was_blocked,trust_score,trust_tier,provenance_records
benign_26,ALLOWED,1109.72,False,1.0,HIGH,2
benign_92,ALLOWED,1143.78,False,1.0,HIGH,2
benign_84,ALLOWED,1093.63,False,1.0,HIGH,2
benign_90,ALLOWED,1238.46,False,1.0,HIGH,2
benign_70,ALLOWED,1151.58,False,1.0,HIGH,2
benign_54,ALLOWED,1173.1,False,1.0,HIGH,2
benign_29,ALLOWED,1182.95,False,1.0,HIGH,2
benign_58,ALLOWED,1150.72,False,1.0,HIGH,2
benign_76,ALLOWED,1132.5,False,1.0,HIGH,2
benign_36,ALLOWED,1175.35,False,1.0,HIGH,2
benign_1,ALLOWED,1145.83,False,1.0,HIGH,2
benign_98,ALLOWED,1159.02,False,1.0,HIGH,2
benign_21,ALLOWED,1118.87,False,1.0,HIGH,2
benign_55,ALLOWED,1262.79,False,1.0,HIGH,2
benign_44,ALLOWED,1143.37,False,1.0,HIGH,2
benign_20,ALLOWED,1128.17,False,1.0,HIGH,2
benign_28,ALLOWED,1103.07,False,1.0,HIGH,2
benign_14,ALLOWED,1222.27,False,1.0,HIGH,2
benign_12,ALLOWED,1082.72,False,1.0,HIGH,2
benign_49,ALLOWED,1056.17,False,1.0,HIGH,2
