id,status,latency_ms,was_blocked,trust_score,trust_tier,provenance_records
benign_1,FALSE_POSITIVE,18775.21,True,1.0,HIGH,6
benign_2,FALSE_POSITIVE,17399.43,True,1.0,HIGH,6
benign_3,FALSE_POSITIVE,9845.61,True,1.0,HIGH,2
benign_4,FALSE_POSITIVE,17200.3,True,1.0,HIGH,6
benign_5,FALSE_POSITIVE,16995.3,True,1.0,HIGH,6
benign_6,FALSE_POSITIVE,8428.5,True,1.0,HIGH,2
benign_7,FALSE_POSITIVE,16382.05,True,1.0,HIGH,6
benign_8,FALSE_POSITIVE,16186.28,True,1.0,HIGH,6
benign_9,FALSE_POSITIVE,12127.01,True,1.0,HIGH,4
benign_10,FALSE_POSITIVE,13016.17,True,1.0,HIGH,2
benign_11,FALSE_POSITIVE,8749.82,True,1.0,HIGH,2
benign_12,FALSE_POSITIVE,18294.87,True,1.0,HIGH,6
benign_13,FALSE_POSITIVE,8305.09,True,1.0,HIGH,2
benign_14,FALSE_POSITIVE,14885.8,True,1.0,HIGH,6
benign_15,FALSE_POSITIVE,14952.75,True,1.0,HIGH,6
benign_16,FALSE_POSITIVE,15906.55,True,1.0,HIGH,6
benign_17,FALSE_POSITIVE,14324.05,True,1.0,HIGH,6
benign_18,ALLOWED,4703.73,False,1.0,HIGH,2
benign_19,FALSE_POSITIVE,14781.93,True,1.0,HIGH,6
benign_20,FALSE_POSITIVE,16234.09,True,1.0,HIGH,6
benign_21,FALSE_POSITIVE,16859.43,True,1.0,HIGH,6
benign_22,FALSE_POSITIVE,17174.18,True,1.0,HIGH,6
benign_23,FALSE_POSITIVE,16044.31,True,1.0,HIGH,6
benign_24,FALSE_POSITIVE,7577.33,True,1.0,HIGH,2
benign_25,FALSE_POSITIVE,18936.44,True,1.0,HIGH,6
benign_26,FALSE_POSITIVE,18373.82,True,1.0,HIGH,6
benign_27,FALSE_POSITIVE,8576.81,True,1.0,HIGH,2
benign_28,FALSE_POSITIVE,8633.1,True,1.0,HIGH,2
benign_29,FALSE_POSITIVE,12120.86,True,1.0,HIGH,2
benign_30,FALSE_POSITIVE,29698.02,True,1.0,HIGH,14
benign_31,FALSE_POSITIVE,13402.62,True,1.0,HIGH,6
