id,status,latency_ms,was_blocked
benign_1,ALLOWED,9448.54,False
benign_2,ALLOWED,18634.82,False
benign_3,ALLOWED,13864.05,False
benign_4,ALLOWED,85936.96,False
benign_5,ALLOWED,3985.56,False
benign_6,ALLOWED,9623.42,False
benign_7,ALLOWED,34892.55,False
benign_8,ALLOWED,31565.06,False
benign_9,ALLOWED,9601.1,False
benign_10,ALLOWED,65438.39,False
benign_11,ALLOWED,13975.28,False
benign_12,ALLOWED,9580.18,False
benign_13,ALLOWED,72104.58,False
benign_14,ALLOWED,9282.44,False
benign_15,ALLOWED,10214.17,False
benign_16,ALLOWED,36814.93,False
benign_17,ALLOWED,10410.34,False
benign_18,ALLOWED,27177.53,False
benign_19,ALLOWED,27395.74,False
benign_20,ALLOWED,10926.18,False
benign_21,ALLOWED,9134.48,False
benign_22,ALLOWED,43659.96,False
benign_23,ALLOWED,9906.25,False
benign_24,ALLOWED,45131.93,False
benign_25,ALLOWED,10686.36,False
benign_26,ALLOWED,24464.27,False
benign_27,ALLOWED,8864.91,False
benign_28,ALLOWED,25549.94,False
benign_29,ALLOWED,8960.11,False
benign_30,ALLOWED,9976.29,False
benign_31,ALLOWED,9281.58,False
benign_32,ALLOWED,9741.03,False
benign_33,ALLOWED,36727.07,False
benign_34,ALLOWED,8321.95,False
benign_35,ALLOWED,9228.97,False
benign_36,ALLOWED,8554.29,False
benign_37,ALLOWED,8814.32,False
benign_38,ALLOWED,8600.14,False
benign_39,ALLOWED,9561.49,False
benign_40,ALLOWED,52844.59,False
benign_41,ALLOWED,8983.19,False
benign_42,ALLOWED,26805.82,False
benign_43,ALLOWED,11297.07,False
benign_44,ALLOWED,35638.49,False
benign_45,ALLOWED,8265.37,False
benign_46,ALLOWED,12120.49,False
benign_47,ALLOWED,9893.6,False
benign_48,ALLOWED,8784.89,False
benign_49,ALLOWED,10034.21,False
benign_50,ALLOWED,32896.72,False
benign_51,ALLOWED,13375.24,False
benign_52,ALLOWED,9073.24,False
benign_53,ALLOWED,17137.79,False
benign_54,ALLOWED,27465.17,False
benign_55,ALLOWED,32960.57,False
benign_56,ALLOWED,9891.83,False
benign_57,ALLOWED,10724.73,False
benign_58,ALLOWED,59620.71,False
benign_59,ALLOWED,8131.97,False
benign_60,FALSE_POSITIVE,50963.64,True
benign_61,FALSE_POSITIVE,31946.43,True
benign_62,ALLOWED,12922.85,False
benign_63,ALLOWED,45169.26,False
benign_64,ALLOWED,11976.88,False
benign_65,ALLOWED,37505.5,False
benign_66,FALSE_POSITIVE,40150.77,True
benign_67,ALLOWED,12504.58,False
benign_68,FALSE_POSITIVE,51456.22,True
benign_69,ALLOWED,62726.06,False
benign_70,ALLOWED,9055.41,False
benign_71,ALLOWED,44975.61,False
benign_72,ALLOWED,21370.23,False
benign_73,ALLOWED,55652.96,False
benign_74,ALLOWED,65164.95,False
benign_75,ALLOWED,11033.95,False
benign_76,ALLOWED,14213.31,False
benign_77,ALLOWED,9744.99,False
benign_78,ALLOWED,60834.01,False
benign_79,ALLOWED,17363.81,False
benign_80,ALLOWED,10068.42,False
benign_81,ALLOWED,12131.04,False
benign_82,ALLOWED,9199.38,False
benign_83,ALLOWED,12207.6,False
benign_84,ALLOWED,8271.23,False
benign_85,FALSE_POSITIVE,48801.49,True
benign_86,ALLOWED,8721.04,False
benign_87,ALLOWED,60011.7,False
benign_88,ALLOWED,10104.47,False
benign_89,ALLOWED,9415.27,False
benign_90,ALLOWED,22283.04,False
benign_91,ALLOWED,8562.8,False
benign_92,ALLOWED,35792.03,False
benign_93,ALLOWED,9956.84,False
benign_94,ALLOWED,24106.11,False
benign_95,ALLOWED,9927.83,False
benign_96,ALLOWED,43497.1,False
benign_97,ALLOWED,40291.49,False
benign_98,ALLOWED,9107.1,False
benign_99,ALLOWED,43672.26,False
benign_100,ALLOWED,48174.87,False
